epoch,accuracy,loss,val_accuracy,val_loss
0,0.7649999856948853,0.6011178493499756,0.8575000166893005,0.32616549730300903
1,0.8560000061988831,0.32889971137046814,0.9049999713897705,0.24919679760932922
2,0.8985000252723694,0.2696288526058197,0.90625,0.2553309500217438
3,0.8989999890327454,0.24369333684444427,0.8962500095367432,0.26423633098602295
4,0.9210000038146973,0.20061977207660675,0.9049999713897705,0.2716147005558014
5,0.9355000257492065,0.17922519147396088,0.90625,0.27291998267173767
6,0.9355000257492065,0.1743110865354538,0.8849999904632568,0.35182130336761475
7,0.9440000057220459,0.14620408415794373,0.9012500047683716,0.33662688732147217
8,0.9459999799728394,0.1407080888748169,0.8949999809265137,0.36313068866729736
9,0.9559999704360962,0.10317350924015045,0.893750011920929,0.3348156213760376
